Date,Cases,Deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,1
2020-01-25,2,0
2020-01-26,5,3
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,6,1
2020-01-30,6,0
2020-01-31,8,2
2020-02-01,8,0
2020-02-02,8,0
2020-02-03,11,3
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,12,1
2020-02-07,12,0
2020-02-08,12,0
2020-02-09,12,0
2020-02-10,12,0
2020-02-11,13,1
2020-02-12,13,0
2020-02-13,14,1
2020-02-14,14,0
2020-02-15,14,0
2020-02-16,14,0
2020-02-17,14,0
2020-02-18,14,0
2020-02-19,14,0
2020-02-20,14,0
2020-02-21,16,2
2020-02-22,16,0
2020-02-23,16,0
2020-02-24,16,0
2020-02-25,16,0
2020-02-26,16,0
2020-02-27,17,1
2020-02-28,17,0
2020-02-29,25,8
2020-03-01,32,7
2020-03-02,55,23
2020-03-03,74,19
2020-03-04,107,33
2020-03-05,184,77
2020-03-06,237,53
2020-03-07,403,166
2020-03-08,519,116
2020-03-09,594,75
2020-03-10,782,188
2020-03-11,1147,365
2020-03-12,1586,439
2020-03-13,2219,633
2020-03-14,2978,759
2020-03-15,3212,234
2020-03-16,4679,1467
2020-03-17,6512,1833
2020-03-18,9169,2657
2020-03-19,13663,4494
2020-03-20,20030,6367
2020-03-21,26025,5995
2020-03-22,34898,8873
2020-03-23,46136,11238
2020-03-24,56755,10619
2020-03-25,68837,12082
2020-03-26,86693,17856
2020-03-27,105383,18690
2020-03-28,125013,19630
2020-03-29,143912,18899
2020-03-30,165987,22075
2020-03-31,192301,26314
2020-04-01,224587,32286
2020-04-02,256809,32222
2020-04-03,289116,32307
2020-04-04,321502,32386
2020-04-05,351397,29895
2020-04-06,382787,31390
2020-04-07,413566,30779
2020-04-08,444801,31235
2020-04-09,480743,35942
2020-04-10,515146,34403
2020-04-11,544229,29083
2020-04-12,571485,27256
2020-04-13,598424,26939
2020-04-14,627242,28818
2020-04-15,652650,25408
2020-04-16,682652,30002
2020-04-17,715718,33066
2020-04-18,743625,27907
2020-04-19,769687,26062
2020-04-20,799507,29820
2020-04-21,825433,25926
2020-04-22,854344,28911
2020-04-23,887956,33612
2020-04-24,920283,32327
2020-04-25,950663,30380
2020-04-26,977151,26488
2020-04-27,1000866,23715
2020-04-28,1025441,24575
2020-04-29,1051900,26459
2020-04-30,1081105,29205
2020-05-01,1116012,34907
2020-05-02,1143360,27348
2020-05-03,1167681,24321
2020-05-04,1191749,24068
2020-05-05,1216277,24528
2020-05-06,1240846,24569
2020-05-07,1268275,27429
2020-05-08,1295105,26830
2020-05-09,1320281,25176
2020-05-10,1339086,18805
2020-05-11,1358384,19298
2020-05-12,1381311,22927
2020-05-13,1401744,20433
2020-05-14,1428561,26817
2020-05-15,1453294,24733
2020-05-16,1477429,24135
2020-05-17,1495817,18388
2020-05-18,1518206,22389
2020-05-19,1539185,20979
2020-05-20,1561910,22725
2020-05-21,1587679,25769
2020-05-22,1611328,23649
2020-05-23,1632427,21099
2020-05-24,1652504,20077
2020-05-25,1671166,18662
2020-05-26,1690829,19663
2020-05-27,1709380,18551
2020-05-28,1731700,22320
2020-05-29,1756178,24478
2020-05-30,1779810,23632
2020-05-31,1798793,18983
2020-06-01,1816207,17414
2020-06-02,1837709,21502
2020-06-03,1857566,19857
2020-06-04,1879224,21658
2020-06-05,1904627,25403
2020-06-06,1925769,21142
2020-06-07,1943697,17928
2020-06-08,1961313,17616
2020-06-09,1979696,18383
2020-06-10,2000807,21111
2020-06-11,2023973,23166
2020-06-12,2048801,24828
2020-06-13,2074013,25212
2020-06-14,2092954,18941
2020-06-15,2112781,19827
2020-06-16,2136448,23667
2020-06-17,2163520,27072
2020-06-18,2192057,28537
2020-06-19,2223601,31544
2020-06-20,2255881,32280
2020-06-21,2281031,25150
2020-06-22,2313175,32144
2020-06-23,2350247,37072
2020-06-24,2386125,35878
2020-06-25,2426451,40326
2020-06-26,2472450,45999
2020-06-27,2513780,41330
2020-06-28,2554514,40734
2020-06-29,2595813,41299
2020-06-30,2642233,46420
2020-07-01,2694053,51820
2020-07-02,2750689,56636
2020-07-03,2802040,51351
2020-07-04,2847733,45693
2020-07-05,2898480,50747
2020-07-06,2941586,43106
2020-07-07,3002247,60661
2020-07-08,3062366,60119
2020-07-09,3124875,62509
2020-07-10,3192932,68057
2020-07-11,3252949,60017
2020-07-12,3311373,58424
2020-07-13,3370303,58930
2020-07-14,3438354,68051
2020-07-15,3506444,68090
2020-07-16,3582310,75866
2020-07-17,3654546,72236
2020-07-18,3717082,62536
2020-07-19,3777538,60456
2020-07-20,3839645,62107
2020-07-21,3904106,64461
2020-07-22,3974685,70579
2020-07-23,4043130,68445
2020-07-24,4116449,73319
2020-07-25,4181402,64953
2020-07-26,4236218,54816
2020-07-27,4293001,56783
2020-07-28,4359413,66412
2020-07-29,4431286,71873
2020-07-30,4498752,67466
2020-07-31,4567464,68712
2020-08-01,4623665,56201
2020-08-02,4669233,45568
2020-08-03,4714734,45501
2020-08-04,4773508,58774
2020-08-05,4827974,54466
2020-08-06,4887323,59349
2020-08-07,4946626,59303
2020-08-08,5000760,54134
2020-08-09,5046529,45769
2020-08-10,5094135,47606
2020-08-11,5142138,48003
2020-08-12,5198178,56040
2020-08-13,5249494,51316
2020-08-14,5314830,65336
2020-08-15,5361781,46951
2020-08-16,5400993,39212
2020-08-17,5437645,36652
2020-08-18,5482678,45033
2020-08-19,5529998,47320
2020-08-20,5574039,44041
2020-08-21,5622882,48843
2020-08-22,5665946,43064
2020-08-23,5700193,34247
2020-08-24,5736675,36482
2020-08-25,5777029,40354
2020-08-26,5822201,45172
2020-08-27,5867594,45393
2020-08-28,5914426,46832
2020-08-29,5957180,42754
2020-08-30,5991584,34404
2020-08-31,6026946,35362
2020-09-01,6068792,41846
2020-09-02,6109810,41018
2020-09-03,6154061,44251
2020-09-04,6204443,50382
2020-09-05,6247601,43158
2020-09-06,6278819,31218
2020-09-07,6302432,23613
2020-09-08,6329658,27226
2020-09-09,6363707,34049
2020-09-10,6399763,36056
2020-09-11,6447532,47769
2020-09-12,6488633,41101
2020-09-13,6523005,34372
2020-09-14,6557428,34423
2020-09-15,6596920,39492
2020-09-16,6635950,39030
2020-09-17,6681080,45130
2020-09-18,6730362,49282
2020-09-19,6772564,42202
2020-09-20,6811011,38447
2020-09-21,6862889,51878
2020-09-22,6902755,39866
2020-09-23,6941824,39069
2020-09-24,6988927,47103
2020-09-25,7037222,48295
2020-09-26,7081895,44673
2020-09-27,7119423,37528
2020-09-28,7152717,33294
2020-09-29,7196055,43338
2020-09-30,7235498,39443
2020-10-01,7281148,45650
2020-10-02,7336098,54950
2020-10-03,7384675,48577
2020-10-04,7420413,35738
2020-10-05,7459789,39376
2020-10-06,7505078,45289
2020-10-07,7556134,51056
2020-10-08,7614733,58599
2020-10-09,7671117,56384
2020-10-10,7726070,54953
2020-10-11,7772051,45981
2020-10-12,7813825,41774
2020-10-13,7866056,52231
2020-10-14,7925834,59778
2020-10-15,7990714,64880
2020-10-16,8059861,69147
2020-10-17,8116620,56759
2020-10-18,8165987,49367
2020-10-19,8233704,67717
2020-10-20,8295660,61956
2020-10-21,8358961,63301
2020-10-22,8435271,76310
2020-10-23,8517204,81933
2020-10-24,8599971,82767
2020-10-25,8662175,62204
2020-10-26,8729485,67310
2020-10-27,8806323,76838
2020-10-28,8885749,79426
2020-10-29,8976768,91019
2020-10-30,9076032,99264
2020-10-31,9165786,89754
2020-11-01,9270686,104900
2020-11-02,9355897,85211
2020-11-03,9483095,127198
2020-11-04,9587636,104541
2020-11-05,9717003,129367
2020-11-06,9845036,128033
2020-11-07,9972546,127510
2020-11-08,10087716,115170
2020-11-09,10208150,120434
2020-11-10,10348654,140504
2020-11-11,10495404,146750
2020-11-12,10660154,164750
2020-11-13,10840552,180398
2020-11-14,11008478,167926
2020-11-15,11144834,136356
2020-11-16,11307458,162624
2020-11-17,11471416,163958
2020-11-18,11644667,173251
2020-11-19,11836177,191510
2020-11-20,12034510,198333
2020-11-21,12213946,179436
2020-11-22,12360893,146947
2020-11-23,12534982,174089
2020-11-24,12710526,175544
2020-11-25,12893929,183403
2020-11-26,13006455,112526
2020-11-27,13214388,207933
2020-11-28,13370049,155661
2020-11-29,13510377,140328
2020-11-30,13670698,160321
2020-12-01,13859037,188339
2020-12-02,14061931,202894
2020-12-03,14285352,223421
2020-12-04,14517996,232644
2020-12-05,14733807,215811
2020-12-06,14915060,181253
2020-12-07,15109469,194409
2020-12-08,15333921,224452
2020-12-09,15556569,222648
2020-12-10,15787997,231428
2020-12-11,16028086,240089
2020-12-12,16245883,217797
2020-12-13,16433854,187971
2020-12-14,16628168,194314
2020-12-15,16837160,208992
2020-12-16,17083804,246644
2020-12-17,17323704,239900
2020-12-18,17575536,251832
2020-12-19,17767638,192102
2020-12-20,17955653,188015
2020-12-21,18154356,198703
2020-12-22,18352463,198107
2020-12-23,18582087,229624
2020-12-24,18776242,194155
2020-12-25,18874122,97880
2020-12-26,19100538,226416
2020-12-27,19256383,155845
2020-12-28,19430535,174152
2020-12-29,19630943,200408
2020-12-30,19864644,233701
2020-12-31,20100244,235600
2021-01-01,20254160,153916
2021-01-02,20554622,300462
2021-01-03,20763475,208853
2021-01-04,20947480,184005
2021-01-05,21182522,235042
2021-01-06,21438159,255637
2021-01-07,21716496,278337
2021-01-08,22011753,295257
2021-01-09,22272720,260967
2021-01-10,22486135,213415
2021-01-11,22700799,214664
2021-01-12,22927766,226967
2021-01-13,23158067,230301
2021-01-14,23393833,235766
2021-01-15,23636613,242780
2021-01-16,23838471,201858
2021-01-17,24016402,177931
2021-01-18,24160000,143598
2021-01-19,24336216,176216
2021-01-20,24519477,183261
2021-01-21,24713333,193856
2021-01-22,24904093,190760
2021-01-23,25074852,170759
2021-01-24,25206050,131198
2021-01-25,25357727,151677
2021-01-26,25505353,147626
2021-01-27,25659314,153961
2021-01-28,25828118,168804
2021-01-29,25994731,166613
2021-01-30,26137190,142459
2021-01-31,26249342,112152
2021-02-01,26384317,134975
2021-02-02,26499620,115303
2021-02-03,26621311,121691
2021-02-04,26745317,124006
2021-02-05,26879739,134422
2021-02-06,26983915,104176
2021-02-07,27073661,89746
2021-02-08,27164099,90438
2021-02-09,27259364,95265
2021-02-10,27354614,95250
2021-02-11,27460378,105764
2021-02-12,27560048,99670
2021-02-13,27647267,87219
2021-02-14,27712402,65135
2021-02-15,27766681,54279
2021-02-16,27829179,62498
2021-02-17,27899318,70139
2021-02-18,27969229,69911
2021-02-19,28048511,79282
2021-02-20,28120119,71608
2021-02-21,28177280,57161
2021-02-22,28233431,56151
2021-02-23,28305709,72278
2021-02-24,28380445,74736
2021-02-25,28457959,77514
2021-02-26,28535292,77333
2021-02-27,28599936,64644
2021-02-28,28651355,51419
2021-03-01,28709454,58099
2021-03-02,28766544,57090
2021-03-03,28833745,67201
2021-03-04,28901802,68057
2021-03-05,28968231,66429
2021-03-06,29026478,58247
2021-03-07,29067553,41075
2021-03-08,29112472,44919
2021-03-09,29170126,57654
2021-03-10,29228034,57908
2021-03-11,29290495,62461
2021-03-12,29352006,61511
2021-03-13,29405035,53029
2021-03-14,29443317,38282
2021-03-15,29499863,56546
2021-03-16,29553856,53993
2021-03-17,29613135,59279
2021-03-18,29673509,60374
2021-03-19,29735175,61666
2021-03-20,29790671,55496
2021-03-21,29824511,33840
2021-03-22,29875944,51433
2021-03-23,29929612,53668
2021-03-24,30016566,86954
2021-03-25,30084115,67549
2021-03-26,30161485,77370
2021-03-27,30224333,62848
2021-03-28,30267553,43220
2021-03-29,30336835,69282
2021-03-30,30398261,61426
2021-03-31,30465030,66769
2021-04-01,30544145,79115
2021-04-02,30614031,69886
2021-04-03,30677289,63258
2021-04-04,30712415,35126
2021-04-05,30789814,77399
2021-04-06,30850504,60690
2021-04-07,30925509,75005
2021-04-08,31005391,79882
2021-04-09,31088104,82713
2021-04-10,31154800,66696
2021-04-11,31201306,46506
2021-04-12,31271399,70093
2021-04-13,31349356,77957
2021-04-14,31424769,75413
2021-04-15,31499073,74304
2021-04-16,31579124,80051
2021-04-17,31631670,52546
2021-04-18,31673784,42114
2021-04-19,31741907,68123
2021-04-20,31802848,60941
2021-04-21,31865707,62859
2021-04-22,31932976,67269
2021-04-23,31995381,62405
2021-04-24,32048873,53492
2021-04-25,32081038,32165
2021-04-26,32128604,47566
2021-04-27,32179445,50841
2021-04-28,32234586,55141
2021-04-29,32292841,58255
2021-04-30,32350761,57920
2021-05-01,32396144,45383
2021-05-02,32425548,29404
2021-05-03,32476040,50492
2021-05-04,32516756,40716
2021-05-05,32561469,44713
2021-05-06,32609021,47552
2021-05-07,32657158,48137
2021-05-08,32690834,33676
2021-05-09,32712264,21430
2021-05-10,32749068,36804
2021-05-11,32782712,33644
2021-05-12,32818551,35839
2021-05-13,32856627,38076
2021-05-14,32898886,42259
2021-05-15,32927740,28854
2021-05-16,32944627,16887
2021-05-17,32973249,28622
2021-05-18,33001039,27790
2021-05-19,33030332,29293
2021-05-20,33060540,30208
2021-05-21,33088492,27952
2021-05-22,33108291,19799
2021-05-23,33121157,12866
2021-05-24,33146976,25819
2021-05-25,33169715,22739
2021-05-26,33193687,23972
2021-05-27,33221141,27454
2021-05-28,33242999,21858
2021-05-29,33254998,11999
2021-05-30,33261731,6733
2021-05-31,33267507,5776
2021-06-01,33290450,22943
2021-06-02,33307363,16913
2021-06-03,33326437,19074
2021-06-04,33343297,16860
2021-06-05,33357205,13908
2021-06-06,33362600,5395
2021-06-07,33378096,15496
2021-06-08,33393246,15150
2021-06-09,33414025,20779